titulo,precio,kilometros,año,combustible,ciudad,garantia,url
MERCEDES-BENZ Clase C C 220 BlueTEC AMG Line 4p.,18500,200000,2015,1,Murcia,True,/mercedes-benz-clase-c-c-220-bluetec-amg-line-4p-diesel-2015-en-murcia-50945673-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,18500,100000,2017,1,Murcia,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2017-en-murcia-51386584-covo.aspx
MERCEDES-BENZ Clase C  5p.,15500,194000,2014,1,Madrid,False,/mercedes-benz-clase-c--5p-diesel-2014-en-madrid-51783846-covo.aspx
MERCEDES-BENZ Clase C C Cabrio MercedesAMG C 63 S 2p.,63000,60000,2017,2,Murcia,True,/mercedes-benz-clase-c-c-cabrio-mercedesamg-c-63-s-2p-gasolina-2016-en-murcia-49986170-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC 4p.,29795,69324,2018,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4matic-4p-diesel-2018-en-madrid-51673272-covo.aspx
MERCEDES-BENZ Clase C C 220 d Sportive AMG Estate 5p.,23500,128000,2016,1,Vizcaya,True,/mercedes-benz-clase-c-c-220-d-sportive-amg-estate-5p-diesel-2016-en-vizcaya-51781971-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC AMG Line 4p.,31500,105000,2016,1,Valencia,False,/mercedes-benz-clase-c-c-220-d-4matic-amg-line-4p-diesel-2016-en-valencia-50433156-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,24890,138084,2018,1,Sevilla,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-sevilla-51408829-covo.aspx
MERCEDES-BENZ Clase C C 220 CDI 4MATIC Elegance 4p.,25790,145500,2014,1,Barcelona,True,/mercedes-benz-clase-c-c-220-cdi-4matic-elegance-4p-diesel-2014-en-barcelona-51537868-covo.aspx
MERCEDES-BENZ,29900,129000,2016,1,Jaén,False,/mercedes-benz-clase-c--3p-diesel-2016-en-jaen-51782622-covo.aspx
MERCEDES-BENZ Clase C C Coupe 250 d 2p.,38900,87000,2018,1,Barcelona,True,/mercedes-benz-clase-c-c-coupe-250-d-2p-diesel-2018-en-barcelona-51484731-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,44900,18000,2020,1,Toledo,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2020-en-toledo-50049691-covo.aspx
MERCEDES-BENZ Clase C C Coupe 250 d AMG Line 2p.,34800,114000,2016,1,Pontevedra,True,/mercedes-benz-clase-c-c-coupe-250-d-amg-line-2p-diesel-2016-en-pontevedra-51781423-covo.aspx
MERCEDES-BENZ Clase C C 250 BlueTEC AMG Line 4p.,29500,90000,2015,1,Jaén,True,/mercedes-benz-clase-c-c-250-bluetec-amg-line-4p-diesel-2015-en-jaen-51647799-covo.aspx
MERCEDES-BENZ Clase C C 250 d 4MATIC AMG Line Estate 5p.,27500,140000,2016,1,Madrid,True,/mercedes-benz-clase-c-c-250-d-4matic-amg-line-estate-5p-diesel-2016-en-madrid-51781340-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,38900,21400,2020,1,Barcelona,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-barcelona-51420487-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC Estate 5p.,28650,49000,2017,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4matic-estate-5p-diesel-2017-en-madrid-51562679-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d 2p.,35490,69520,2018,1,Valencia,True,/mercedes-benz-clase-c-c-coupe-220-d-2p-diesel-2018-en-valencia-51781176-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,24890,138084,2018,1,Alicante,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-alicante-51385312-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d 4MATIC 2p.,38900,65000,2018,1,Valencia,True,/mercedes-benz-clase-c-c-coupe-220-d-4matic-2p-diesel-2018-en-valencia-51781088-covo.aspx
MERCEDES-BENZ Clase C C 200 d Sportive Avantgarde 4p.,20500,199999,2016,1,Sevilla,True,/mercedes-benz-clase-c-c-200-d-sportive-avantgarde-4p-diesel-2016-en-sevilla-51781075-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,27900,128319,2017,1,Cáceres,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2017-en-caceres-51109575-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,37990,50440,2018,1,Valencia,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2018-en-valencia-51781020-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,19890,105427,2017,1,Sevilla,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2017-en-sevilla-51506374-covo.aspx
MERCEDES-BENZ Clase C C 250 CDI Coupe 2p.,35900,94000,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-250-cdi-coupe-2p-diesel-2016-en-barcelona-50896858-covo.aspx
MERCEDES-BENZ Clase C C 180 4p.,34995,20850,2020,2,Cantabria,True,/mercedes-benz-clase-c-c-180-4p-gasolina-2020-en-cantabria-51308010-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC 4p.,24920,102386,2018,1,Sevilla,True,/mercedes-benz-clase-c-c-220-d-4matic-4p-diesel-2018-en-sevilla-51780831-covo.aspx
MERCEDES-BENZ Clase C C 200 4p.,35950,25100,2018,4,Málaga,True,/mercedes-benz-clase-c-c-200-4p-electrico-hibrido-2019-en-malaga-51435560-covo.aspx
MERCEDES-BENZ Clase C C 450 AMG 4MATIC 4p.,33999,175000,2016,2,Alicante,True,/mercedes-benz-clase-c-c-450-amg-4matic-4p-gasolina-2016-en-alicante-50881726-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d AMG Line 2p.,26999,131000,2016,1,Alicante,True,/mercedes-benz-clase-c-c-coupe-220-d-amg-line-2p-diesel-2016-en-alicante-51568298-covo.aspx
