precio,kilometros,garantia,AMG,años,combustible_2,combustible_4,z_kilometros,combustible_5,tipo_200,tipo_220,tipo_250,tipo_300,tipo_350,tipo_400,tipo_43,tipo_45,tipo_450,tipo_63,tipo_NoInfo,puertas,4MATIC,Avantgarde,BlueTEC,Sportive,Exclusive,S Edition,d Edition
29000,99900,False,False,5,0,0,99898.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
19500,182000,False,False,7,0,0,181998.41987416413,0,0,0,0,0,0,0,0,0,0,0,1,NoInfo,False,False,False,False,False,False,False
35990,142557,True,True,6,1,0,142555.41987416413,0,0,0,0,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
36990,35000,True,False,4,1,0,34998.41987416412,0,0,0,0,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
25400,96140,True,False,6,0,0,96138.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
33800,65800,True,False,3,0,0,65798.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
35990,61367,True,False,6,0,0,61365.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
59990,7840,True,False,1,0,0,7838.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
29500,76872,True,False,5,0,0,76870.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
30900,92474,True,False,5,0,0,92472.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
39500,17606,True,False,2,0,1,17604.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
30900,68627,True,False,5,0,1,68625.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
55900,870,True,False,1,0,0,868.4198741641205,0,0,0,0,0,0,0,0,0,0,0,1,4,False,False,False,False,False,False,False
35940,58802,True,False,3,0,0,58800.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
17990,149764,True,False,6,0,0,149762.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
27990,114000,True,False,6,0,0,113998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,False,False,False,False,False
53600,1,True,False,0,0,1,-0.5801258358794867,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
53600,1,True,False,0,0,0,-0.5801258358794867,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
34900,32000,True,False,4,0,0,31998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
36490,6700,True,False,2,1,0,6698.41987416412,0,0,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
17900,165500,True,True,7,0,0,165498.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
58800,74137,True,True,6,1,0,74135.41987416412,0,0,0,0,0,0,0,0,0,0,1,0,5,False,False,False,False,False,False,False
30000,57000,False,False,4,0,0,56998.41987416412,0,0,0,0,0,0,0,0,0,0,0,1,NoInfo,False,False,False,False,False,False,False
23990,140000,True,False,6,0,0,139998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,True,True,False,False
37900,17000,True,False,2,0,1,16998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
36299,23104,True,False,4,1,0,23102.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
36299,23104,True,False,4,1,0,23102.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
22999,97995,True,True,8,0,0,97993.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,True,False,False,False,False
23500,124366,True,False,8,0,0,124364.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,True,False,False,False,False
36299,23104,True,False,4,1,0,23102.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
49500,34500,True,False,4,1,0,34498.41987416412,0,0,0,0,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
22999,97995,True,True,8,0,0,97993.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,True,False,False,False,False
21180,170000,True,False,7,0,0,169998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,True,False,False,False,False
36299,23104,True,False,4,1,0,23102.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
22900,127000,True,False,5,0,0,126998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
42790,18001,True,False,1,0,0,17999.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
41995,24001,True,False,2,0,0,23999.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
34990,30000,True,False,2,0,0,29998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
32500,91500,True,False,4,0,0,91498.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
32500,91500,True,False,4,0,0,91498.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
25495,96743,True,True,6,0,0,96741.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False
33490,113300,True,False,3,0,1,113298.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
35490,63500,True,False,6,0,0,63498.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
18399,143000,False,False,7,0,0,142998.41987416413,0,0,0,0,0,0,0,0,0,0,0,1,NoInfo,False,False,False,False,False,False,False
32990,59013,True,False,3,0,0,59011.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
26399,90399,True,False,5,0,0,90397.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
35990,85000,True,False,5,0,0,84998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
34990,34000,True,False,2,0,0,33998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
34990,25000,True,False,2,0,0,24998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
28950,97394,True,False,4,0,0,97392.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
23490,91696,True,False,6,0,0,91694.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,False,True,False,False,False
41999,34600,True,False,3,0,0,34598.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
18880,222000,True,False,8,0,0,221998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,True,False,False,False,False
